"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"group_7112","histidine kinase","histidine kinase","9","9","1","32","1766","","","","2684","2717","2687","GEGEGB_02283","LNHIMF_00844","BEJGEH_00717","HFCAGB_00798","AJBGEP_00729","ODDLKH_01196","IKCLMC_00425","PKJKAM_00403","ONMMKP_01449"
"Ferredoxin-like protein","","Ferredoxin-like protein","9","9","1","32","3566","","","","287","287","287","GEGEGB_00082","LNHIMF_00080","BEJGEH_00081","HFCAGB_00081","AJBGEP_00082","ODDLKH_00555","IKCLMC_03120","PKJKAM_02022","ONMMKP_02100"
"group_7114","Lipoprotein","Lipoprotein","9","9","1","32","3568","","","","230","230","230","GEGEGB_00085","LNHIMF_00083","BEJGEH_00084","HFCAGB_00084","AJBGEP_00085","ODDLKH_00558","IKCLMC_03117","PKJKAM_02019","ONMMKP_02097"
"znuB","","High-affinity zinc uptake system membrane protein ZnuB","9","9","1","32","7238","","","","785","785","785","GEGEGB_01047","LNHIMF_01965","BEJGEH_01172","HFCAGB_01321","AJBGEP_01989","ODDLKH_02383","IKCLMC_04246","PKJKAM_04257","ONMMKP_00136"
"dppF","","dipeptide ABC transporter ATP-binding subunit DppF","9","9","1","32","2735","","","","1013","1013","1013","GEGEGB_04101","LNHIMF_03663","BEJGEH_03660","HFCAGB_03864","AJBGEP_03808","ODDLKH_04069","IKCLMC_02750","PKJKAM_03726","ONMMKP_03209"
"Hypoxanthine phosphoribosyltransferase","","Hypoxanthine phosphoribosyltransferase","9","9","1","32","3665","","","","536","536","536","GEGEGB_00186","LNHIMF_00177","BEJGEH_00190","HFCAGB_00180","AJBGEP_00181","ODDLKH_00653","IKCLMC_03019","PKJKAM_00745","ONMMKP_01998"
"Methylated-DNA--protein-cysteine methyltransferase","","Methylated-DNA--protein-cysteine methyltransferase","9","9","1","32","7511","","","","515","515","515","GEGEGB_01651","LNHIMF_01720","BEJGEH_01409","HFCAGB_01619","AJBGEP_01748","ODDLKH_02146","IKCLMC_04498","PKJKAM_04509","ONMMKP_00379"
"group_7119","Fatty acid oxidation complex subunit alpha","Fatty acid oxidation complex subunit alpha","9","9","1","32","2439","","","","2189","2189","2189","GEGEGB_03490","LNHIMF_04022","BEJGEH_04029","HFCAGB_04222","AJBGEP_04177","ODDLKH_04427","IKCLMC_00455","PKJKAM_01500","ONMMKP_02799"
"dgaE","","D-glucosaminate-6-phosphate ammonia lyase","9","9","1","32","2574","","","","1109","1109","1109","GEGEGB_03953","LNHIMF_03808","BEJGEH_03814","HFCAGB_04015","AJBGEP_03955","ODDLKH_04215","IKCLMC_02608","PKJKAM_03584","ONMMKP_03065"
"Dimethylsulfoxide reductase subunit B","","Dimethylsulfoxide reductase subunit B","9","9","1","32","4288","","","","629","629","629","GEGEGB_00356","LNHIMF_02661","BEJGEH_02557","HFCAGB_02804","AJBGEP_02701","ODDLKH_03032","IKCLMC_01246","PKJKAM_02729","ONMMKP_04301"
"yraR","","Putative NAD(P)-binding protein YraR","9","9","1","32","4670","","","","635","635","635","GEGEGB_03351","LNHIMF_03310","BEJGEH_03285","HFCAGB_03489","AJBGEP_03433","ODDLKH_03698","IKCLMC_03572","PKJKAM_01759","ONMMKP_03564"
"Ribulokinase","","Ribulokinase","9","9","1","32","3593","","","","1709","1709","1709","GEGEGB_00112","LNHIMF_00105","BEJGEH_00109","HFCAGB_00103","AJBGEP_00107","ODDLKH_00580","IKCLMC_03094","PKJKAM_01997","ONMMKP_02075"
"DNA-binding protein","","DNA-binding protein","9","9","1","32","4881","","","","425","425","425","GEGEGB_03144","LNHIMF_03113","BEJGEH_03082","HFCAGB_03295","AJBGEP_03238","ODDLKH_03500","IKCLMC_03771","PKJKAM_00316","ONMMKP_03774"
"pduA","","propanediol utilization microcompartment protein PduA","9","9","1","32","6898","","","","284","284","284","GEGEGB_00885","LNHIMF_02114","BEJGEH_02055","HFCAGB_02295","AJBGEP_02196","ODDLKH_02529","IKCLMC_01964","PKJKAM_04110","ONMMKP_04794"
"sdiA","","Regulatory protein SdiA","9","9","1","32","7184","","","","722","722","722","GEGEGB_00992","LNHIMF_02022","BEJGEH_01116","HFCAGB_01265","AJBGEP_02047","ODDLKH_02440","IKCLMC_04189","PKJKAM_04200","ONMMKP_00078"
"yhjV","","Inner membrane transport protein YhjV","9","9","1","32","2736","","","","1298","1298","1298","GEGEGB_04102","LNHIMF_03662","BEJGEH_03659","HFCAGB_03863","AJBGEP_03807","ODDLKH_04068","IKCLMC_02751","PKJKAM_03727","ONMMKP_03210"
"hybG","","Hydrogenase maturation factor HybG","9","9","1","32","4804","","","","248","248","248","GEGEGB_03213","LNHIMF_03186","BEJGEH_03153","HFCAGB_03366","AJBGEP_03310","ODDLKH_03570","IKCLMC_03701","PKJKAM_01927","ONMMKP_03688"
"fliS","","Flagellar secretion chaperone FliS","9","9","1","32","7166","","","","407","407","407","GEGEGB_00981","LNHIMF_02032","BEJGEH_01106","HFCAGB_01255","AJBGEP_02059","ODDLKH_02450","IKCLMC_04179","PKJKAM_04190","ONMMKP_00068"
"Putative DNase","","Putative DNase","9","9","1","32","1611","","","","758","758","758","GEGEGB_02184","LNHIMF_00941","BEJGEH_00813","HFCAGB_00893","AJBGEP_00840","ODDLKH_01304","IKCLMC_01402","PKJKAM_01081","ONMMKP_01298"
"group_7131","Cytoplasmic protein","Cytoplasmic protein","9","9","1","32","4227","","","","230","230","230","GEGEGB_00419","LNHIMF_02604","BEJGEH_02499","HFCAGB_02744","AJBGEP_02646","ODDLKH_02978","IKCLMC_01302","PKJKAM_02786","ONMMKP_04358"
"sgcX","","Putative aminopeptidase SgcX","9","9","1","32","7565","","","","1118","1118","1118","GEGEGB_01601","LNHIMF_01670","BEJGEH_01464","HFCAGB_01671","AJBGEP_01698","ODDLKH_02096","IKCLMC_04548","PKJKAM_04559","ONMMKP_00433"
"Octanoyltransferase","","Octanoyltransferase","9","9","1","32","1495","","","","641","641","641","GEGEGB_02347","LNHIMF_00779","BEJGEH_00645","HFCAGB_00727","AJBGEP_00659","ODDLKH_01125","IKCLMC_02448","PKJKAM_00390","ONMMKP_01517"
"L-threonine 3-dehydrogenase","","L-threonine 3-dehydrogenase","9","9","1","32","2646","","","","1025","1025","1025","GEGEGB_04019","LNHIMF_03742","BEJGEH_03747","HFCAGB_03950","AJBGEP_03894","ODDLKH_04154","IKCLMC_02664","PKJKAM_03640","ONMMKP_03121"
"xerC","","tyrosine recombinase XerC","9","9","1","32","2404","","","","902","902","902","GEGEGB_03524","LNHIMF_03990","BEJGEH_03995","HFCAGB_04188","AJBGEP_04143","ODDLKH_04393","IKCLMC_00489","PKJKAM_01534","ONMMKP_02833"
"O-acetyl-ADP-ribose deacetylase","","O-acetyl-ADP-ribose deacetylase","9","9","1","32","2022","","","","539","539","539","GEGEGB_01869","LNHIMF_01180","BEJGEH_01946","HFCAGB_02150","AJBGEP_01147","ODDLKH_01551","IKCLMC_00789","PKJKAM_00596","ONMMKP_00988"
"GPH family transporter","","GPH family transporter","9","9","1","32","3644","","","","1406","1406","1406","GEGEGB_00164","LNHIMF_00155","BEJGEH_00161","HFCAGB_00156","AJBGEP_00157","ODDLKH_00630","IKCLMC_03043","PKJKAM_00769","ONMMKP_02022"
"ybaK","","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK","9","9","1","32","1343","","","","479","479","479","GEGEGB_02486","LNHIMF_00521","BEJGEH_00507","HFCAGB_00521","AJBGEP_00516","ODDLKH_00982","IKCLMC_02251","PKJKAM_03235","ONMMKP_01658"
"mpaA","","Murein tripeptide amidase MpaA","9","9","1","32","7489","","","","728","728","728","GEGEGB_01672","LNHIMF_01741","BEJGEH_01388","HFCAGB_01598","AJBGEP_01768","ODDLKH_02166","IKCLMC_04477","PKJKAM_04488","ONMMKP_00358"
"Anaerobic sulfatase-maturating enzyme","","Anaerobic sulfatase-maturating enzyme","9","9","1","32","2534","","","","530","530","530","GEGEGB_03913","LNHIMF_03849","BEJGEH_03852","HFCAGB_04048","AJBGEP_03993","ODDLKH_04252","IKCLMC_02576","PKJKAM_03546","ONMMKP_03027"
"arnD","","putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD","9","9","1","32","4046","","","","899","899","899","GEGEGB_00603","LNHIMF_02433","BEJGEH_02323","HFCAGB_02559","AJBGEP_02467","ODDLKH_02801","IKCLMC_01692","PKJKAM_02960","ONMMKP_04533"
"UPF0270 protein VC_2612","","UPF0270 protein VC_2612","9","9","1","32","2915","","","","218","218","218","GEGEGB_04264","LNHIMF_03508","BEJGEH_03486","HFCAGB_03691","AJBGEP_03636","ODDLKH_03900","IKCLMC_02919","PKJKAM_03887","ONMMKP_03368"
"Outer membrane porin C 2","","Outer membrane porin C 2","9","9","1","32","4008","","","","1136","1136","1136","GEGEGB_00641","LNHIMF_02397","BEJGEH_02289","HFCAGB_02525","AJBGEP_02433","ODDLKH_02767","IKCLMC_01726","PKJKAM_02994","ONMMKP_04567"
"yobB","","Uncharacterized protein YobB","9","9","1","32","7257","","","","656","656","656","GEGEGB_01063","LNHIMF_01949","BEJGEH_01188","HFCAGB_01337","AJBGEP_01973","ODDLKH_02367","IKCLMC_04265","PKJKAM_04273","ONMMKP_00152"
"Twitching motility family protein","","Twitching motility family protein","9","9","1","32","4856","","","","980","980","980","GEGEGB_03164","LNHIMF_03137","BEJGEH_03107","HFCAGB_03320","AJBGEP_03263","ODDLKH_03525","IKCLMC_03746","PKJKAM_00291","ONMMKP_03749"
"N-acetylmuramic acid 6-phosphate etherase","","N-acetylmuramic acid 6-phosphate etherase","9","9","1","32","4332","","","","893","893","893","GEGEGB_00308","LNHIMF_02705","BEJGEH_02606","HFCAGB_02851","AJBGEP_02747","ODDLKH_03078","IKCLMC_01200","PKJKAM_02681","ONMMKP_04255"
"Glucose-1-phosphatase","","Glucose-1-phosphatase","9","9","1","32","1959","","","","1241","1241","1241","GEGEGB_01903","LNHIMF_01147","BEJGEH_01019","HFCAGB_01163","AJBGEP_01114","ODDLKH_01518","IKCLMC_00610","PKJKAM_00631","ONMMKP_01021"
"group_7147","Respiratory nitrate reductase 2 alpha chain","Respiratory nitrate reductase 2 alpha chain","9","9","1","32","48","","","","3728","3740","3738","GEGEGB_01568","LNHIMF_01636","BEJGEH_01498","HFCAGB_01706","AJBGEP_01663","ODDLKH_02061","IKCLMC_04583","PKJKAM_04594","ONMMKP_00468"
"APC family permease","","APC family permease","9","9","1","32","424","","","","1343","1343","1343","GEGEGB_01319","LNHIMF_01427","BEJGEH_01707","HFCAGB_01902","AJBGEP_01459","ODDLKH_01856","IKCLMC_04784","PKJKAM_00837","ONMMKP_00670"
"group_7149","Fimbrial-type adhesion domain-containing protein","Fimbrial-type adhesion domain-containing protein","9","9","1","32","1171","","","","536","536","536","GEGEGB_02652","LNHIMF_00368","BEJGEH_00349","HFCAGB_00360","AJBGEP_00360","ODDLKH_00826","IKCLMC_02093","PKJKAM_03392","ONMMKP_01817"
"group_715","hypothetical protein","hypothetical protein","9","9","1","32","2541","","","","461","833","791","GEGEGB_03919","LNHIMF_03843","BEJGEH_03846","HFCAGB_04042","AJBGEP_03987","ODDLKH_04246","IKCLMC_02582","PKJKAM_03552","ONMMKP_03033"
"osmC","","OsmC family protein","9","9","1","32","2913","","","","404","404","404","GEGEGB_04262","LNHIMF_03510","BEJGEH_03488","HFCAGB_03693","AJBGEP_03638","ODDLKH_03902","IKCLMC_02917","PKJKAM_03885","ONMMKP_03366"
"1-deoxy-D-xylulose 5-phosphate reductoisomerase","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","9","9","1","32","3733","","","","1196","1196","1196","GEGEGB_00236","LNHIMF_00230","BEJGEH_00244","HFCAGB_00234","AJBGEP_00234","ODDLKH_00706","IKCLMC_02966","PKJKAM_00685","ONMMKP_01939"
"Small ribosomal subunit protein uS15","","Small ribosomal subunit protein uS15","9","9","1","32","4654","","","","269","269","269","GEGEGB_03366","LNHIMF_03325","BEJGEH_03302","HFCAGB_03506","AJBGEP_03450","ODDLKH_03715","IKCLMC_03557","PKJKAM_01744","ONMMKP_03549"
"group_7153","GlsB/YeaQ/YmgE family stress response membrane protein","GlsB/YeaQ/YmgE family stress response membrane protein","9","9","1","32","7365","","","","254","254","254","GEGEGB_01143","LNHIMF_01865","BEJGEH_01268","HFCAGB_01478","AJBGEP_01888","ODDLKH_02285","IKCLMC_04357","PKJKAM_04368","ONMMKP_00239"
"UPF0306 protein EH105704_02_02130","","UPF0306 protein EH105704_02_02130","9","9","1","32","4668","","","","443","443","443","GEGEGB_03353","LNHIMF_03312","BEJGEH_03287","HFCAGB_03491","AJBGEP_03435","ODDLKH_03700","IKCLMC_03570","PKJKAM_01757","ONMMKP_03562"
"ybjN","","Uncharacterized protein YbjN","9","9","1","32","933","","","","476","476","476","GEGEGB_02123","LNHIMF_01005","BEJGEH_00871","HFCAGB_00961","AJBGEP_00906","ODDLKH_01371","IKCLMC_01476","PKJKAM_01013","ONMMKP_01229"
"iprA","","IprA winged helix-turn-helix domain-containing protein","9","9","1","32","5337","","","","671","671","671","GEGEGB_04884","LNHIMF_04649","BEJGEH_04689","HFCAGB_04823","AJBGEP_04800","ODDLKH_00472","IKCLMC_03202","PKJKAM_02106","ONMMKP_02181"
"yaiW","","surface-exposed outer membrane lipoprotein YaiW","9","9","1","32","1211","","","","1094","1094","1094","GEGEGB_02617","LNHIMF_00404","BEJGEH_00386","HFCAGB_00398","AJBGEP_00396","ODDLKH_00862","IKCLMC_02130","PKJKAM_03356","ONMMKP_01779"
"Free methionine-R-sulfoxide reductase","","Free methionine-R-sulfoxide reductase","9","9","1","32","7315","","","","569","569","569","GEGEGB_01093","LNHIMF_01914","BEJGEH_01218","HFCAGB_01428","AJBGEP_01939","ODDLKH_02334","IKCLMC_04307","PKJKAM_04318","ONMMKP_00189"
"Uncharacterized MFS-type transporter EH105704_07_01300","","Uncharacterized MFS-type transporter EH105704_07_01300","9","9","1","32","2785","","","","1259","1259","1259","GEGEGB_04157","LNHIMF_03615","BEJGEH_03610","HFCAGB_03814","AJBGEP_03759","ODDLKH_04020","IKCLMC_02799","PKJKAM_03775","ONMMKP_03258"
"Ferrochelatase","","Ferrochelatase","9","9","1","32","1335","","","","962","962","962","GEGEGB_02494","LNHIMF_00514","BEJGEH_00501","HFCAGB_00514","AJBGEP_00509","ODDLKH_00975","IKCLMC_02244","PKJKAM_03242","ONMMKP_01665"
"yggN","","Uncharacterized protein YggN","9","9","1","32","4848","","","","719","719","719","GEGEGB_03174","LNHIMF_03145","BEJGEH_03115","HFCAGB_03328","AJBGEP_03271","ODDLKH_03533","IKCLMC_03738","PKJKAM_00283","ONMMKP_03741"
"ybiO","","Moderate conductance mechanosensitive channel YbiO","9","9","1","32","1588","","","","2222","2222","2222","GEGEGB_02168","LNHIMF_00954","BEJGEH_00827","HFCAGB_00906","AJBGEP_00853","ODDLKH_01317","IKCLMC_01422","PKJKAM_01068","ONMMKP_01285"
"TRAP transporter large permease protein","","TRAP transporter large permease protein","9","9","1","32","3055","","","","1307","1307","1307","GEGEGB_03754","LNHIMF_04097","BEJGEH_04108","HFCAGB_04297","AJBGEP_04252","ODDLKH_04502","IKCLMC_00696","PKJKAM_01429","ONMMKP_02728"
"uhpC","","Membrane sensor protein UhpC","9","9","1","32","2552","","","","1328","1328","1328","GEGEGB_03932","LNHIMF_03831","BEJGEH_03834","HFCAGB_04030","AJBGEP_03975","ODDLKH_04234","IKCLMC_02594","PKJKAM_03564","ONMMKP_03045"
"[Ribosomal protein bS18]-alanine N-acetyltransferase","","[Ribosomal protein bS18]-alanine N-acetyltransferase","9","9","1","32","5379","","","","446","446","446","GEGEGB_04848","LNHIMF_04614","BEJGEH_04650","HFCAGB_04787","AJBGEP_04761","ODDLKH_00433","IKCLMC_03241","PKJKAM_02145","ONMMKP_02220"
"Ribosomal RNA large subunit methyltransferase J","","Ribosomal RNA large subunit methyltransferase J","9","9","1","32","2768","","","","842","842","842","GEGEGB_04133","LNHIMF_03631","BEJGEH_03627","HFCAGB_03831","AJBGEP_03775","ODDLKH_04036","IKCLMC_02783","PKJKAM_03759","ONMMKP_03242"
"DNA-binding transcriptional regulator","","DNA-binding transcriptional regulator","9","9","1","32","3028","","","","446","446","446","GEGEGB_03779","LNHIMF_04072","BEJGEH_04080","HFCAGB_04272","AJBGEP_04227","ODDLKH_04477","IKCLMC_00671","PKJKAM_01454","ONMMKP_02753"
"potH","","Putrescine transport system permease protein PotH","9","9","1","32","936","","","","953","953","953","GEGEGB_02120","LNHIMF_01008","BEJGEH_00874","HFCAGB_00964","AJBGEP_00909","ODDLKH_01374","IKCLMC_01479","PKJKAM_01010","ONMMKP_01226"
"nrfB","","Cytochrome c-type protein NrfB","9","9","1","32","5955","","","","566","566","566","GEGEGB_04410","LNHIMF_04354","BEJGEH_04331","HFCAGB_04507","AJBGEP_04476","ODDLKH_00137","IKCLMC_01082","PKJKAM_01240","ONMMKP_02508"
"stdB","","Fimbrial outer membrane usher protein StdB","9","9","1","32","4929","","","","2489","2489","2489","GEGEGB_03088","LNHIMF_03066","BEJGEH_03037","HFCAGB_03246","AJBGEP_03191","ODDLKH_03454","IKCLMC_03819","PKJKAM_02332","ONMMKP_03821"
"ppiC","","peptidylprolyl isomerase PpiC","9","9","1","32","2369","","","","281","281","281","GEGEGB_03567","LNHIMF_03951","BEJGEH_03952","HFCAGB_04151","AJBGEP_04103","ODDLKH_04353","IKCLMC_00526","PKJKAM_01572","ONMMKP_02870"
"Ribosome-associated protein","","Ribosome-associated protein","9","9","1","32","1391","","","","212","212","212","GEGEGB_02438","LNHIMF_00550","BEJGEH_00555","HFCAGB_00569","AJBGEP_00564","ODDLKH_01030","IKCLMC_02299","PKJKAM_03187","ONMMKP_01610"
"Dihydrofolate synthase/folylpolyglutamate synthase","","Dihydrofolate synthase/folylpolyglutamate synthase","9","9","1","32","4112","","","","1268","1268","1268","GEGEGB_00539","LNHIMF_02496","BEJGEH_02388","HFCAGB_02625","AJBGEP_02532","ODDLKH_02866","IKCLMC_01626","PKJKAM_02897","ONMMKP_04469"
"osmY","","osmoprotectant ABC transporter permease OsmY","9","9","1","32","284","","","","710","710","710","GEGEGB_01487","LNHIMF_01544","BEJGEH_01592","HFCAGB_01784","AJBGEP_01573","ODDLKH_01971","IKCLMC_04667","PKJKAM_04683","ONMMKP_00556"
"DNA-binding transcriptional repressor Mlc","","DNA-binding transcriptional repressor Mlc","9","9","1","32","290","","","","1220","1220","1220","GEGEGB_01481","LNHIMF_01538","BEJGEH_01598","HFCAGB_01790","AJBGEP_01567","ODDLKH_01965","IKCLMC_04673","PKJKAM_04690","ONMMKP_00562"
"Putative ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component","","Putative ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component","9","9","1","32","1699","","","","776","779","776","GEGEGB_02226","LNHIMF_00901","BEJGEH_00772","HFCAGB_00851","AJBGEP_00796","ODDLKH_01263","IKCLMC_01361","PKJKAM_01122","ONMMKP_01382"
"foxA","","ferrioxamine B receptor FoxA","9","9","1","32","1196","","","","2090","2090","2090","GEGEGB_02630","LNHIMF_00391","BEJGEH_00373","HFCAGB_00384","AJBGEP_00383","ODDLKH_00849","IKCLMC_02116","PKJKAM_03369","ONMMKP_01792"
"slyD","","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD","9","9","1","32","2924","","","","590","590","590","GEGEGB_04273","LNHIMF_03500","BEJGEH_03478","HFCAGB_03684","AJBGEP_03628","ODDLKH_03892","IKCLMC_02927","PKJKAM_03895","ONMMKP_03376"
"Allophanate hydrolase 2 subunit 1","","Allophanate hydrolase 2 subunit 1","9","9","1","32","1758","","","","656","656","656","GEGEGB_02275","LNHIMF_00852","BEJGEH_00725","HFCAGB_00806","AJBGEP_00737","ODDLKH_01204","IKCLMC_00417","PKJKAM_00411","ONMMKP_01441"
"ABC-type xenobiotic transporter","","ABC-type xenobiotic transporter","9","9","1","32","1804","","","","1721","1721","1721","GEGEGB_02083","LNHIMF_01043","BEJGEH_00914","HFCAGB_01000","AJBGEP_00948","ODDLKH_01411","IKCLMC_01516","PKJKAM_00974","ONMMKP_01188"
"group_7181","hypothetical protein","hypothetical protein","9","9","1","32","240","","","","410","410","410","GEGEGB_01529","LNHIMF_01586","BEJGEH_01550","HFCAGB_01741","AJBGEP_01616","ODDLKH_02014","IKCLMC_04626","PKJKAM_04640","ONMMKP_00515"
"Cysteine/O-acetylserine efflux protein","","Cysteine/O-acetylserine efflux protein","9","9","1","32","4358","","","","587","587","587","GEGEGB_00286","LNHIMF_02727","BEJGEH_02628","HFCAGB_02873","AJBGEP_02836","ODDLKH_03100","IKCLMC_00098","PKJKAM_02659","ONMMKP_04233"
"3-deoxy-manno-octulosonate cytidylyltransferase","","3-deoxy-manno-octulosonate cytidylyltransferase","9","9","1","32","1836","","","","746","746","746","GEGEGB_02049","LNHIMF_01075","BEJGEH_00945","HFCAGB_01032","AJBGEP_00980","ODDLKH_01443","IKCLMC_01548","PKJKAM_00942","ONMMKP_01156"
"ttrR","","two-component system response regulator TtrR","9","9","1","32","415","","","","620","620","620","GEGEGB_01328","LNHIMF_01435","BEJGEH_01699","HFCAGB_01894","AJBGEP_01467","ODDLKH_01864","IKCLMC_04776","PKJKAM_00829","ONMMKP_00662"
"ykgJ","","YkgJ family cysteine cluster protein","9","9","1","32","6502","","","","254","254","254","GEGEGB_00687","LNHIMF_02354","BEJGEH_02245","HFCAGB_02476","AJBGEP_02374","ODDLKH_02708","IKCLMC_01773","PKJKAM_00060","ONMMKP_04614"
"group_7186","L-serine dehydratase","L-serine dehydratase","9","9","1","32","4696","","","","1364","1364","1364","GEGEGB_03321","LNHIMF_03287","BEJGEH_03262","HFCAGB_03466","AJBGEP_03410","ODDLKH_03670","IKCLMC_03600","PKJKAM_01787","ONMMKP_03587"
"UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","9","9","1","32","6804","","","","1394","1394","1394","GEGEGB_00813","LNHIMF_02245","BEJGEH_02123","HFCAGB_02364","AJBGEP_02264","ODDLKH_02597","IKCLMC_01891","PKJKAM_04039","ONMMKP_04734"
"yjgM","","Uncharacterized N-acetyltransferase YjgM","9","9","1","32","5670","","","","503","503","503","GEGEGB_04744","LNHIMF_04539","BEJGEH_04538","HFCAGB_04680","AJBGEP_04671","ODDLKH_00341","IKCLMC_03347","PKJKAM_02228","ONMMKP_02315"
"Cobalt-precorrin-5A hydrolase","","Cobalt-precorrin-5A hydrolase","9","9","1","32","6909","","","","1055","1055","1055","GEGEGB_00896","LNHIMF_02103","BEJGEH_02044","HFCAGB_02284","AJBGEP_02185","ODDLKH_02518","IKCLMC_01975","PKJKAM_04121","ONMMKP_04806"
"group_7190","Phosphoserine phosphatase","Phosphoserine phosphatase","9","9","1","32","6519","","","","887","887","887","GEGEGB_00701","LNHIMF_02341","BEJGEH_02231","HFCAGB_02464","AJBGEP_02361","ODDLKH_02695","IKCLMC_01786","PKJKAM_03921","ONMMKP_04629"
"S-adenosylmethionine:tRNA ribosyltransferase-isomerase","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","9","9","1","32","1242","","","","1064","1064","1064","GEGEGB_02586","LNHIMF_00431","BEJGEH_00413","HFCAGB_00427","AJBGEP_00423","ODDLKH_00889","IKCLMC_02157","PKJKAM_03329","ONMMKP_01751"
"Fructose-6-phosphate aldolase 1","","Fructose-6-phosphate aldolase 1","9","9","1","32","3115","","","","662","662","662","GEGEGB_03692","LNHIMF_04153","BEJGEH_04166","HFCAGB_04359","AJBGEP_04310","ODDLKH_04560","IKCLMC_00754","PKJKAM_01371","ONMMKP_02668"
"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","9","9","1","32","3616","","","","1358","1358","1358","GEGEGB_00135","LNHIMF_00128","BEJGEH_00132","HFCAGB_00127","AJBGEP_00130","ODDLKH_00603","IKCLMC_03070","PKJKAM_01974","ONMMKP_02051"
"Putative NAD(P)H nitroreductase","","Putative NAD(P)H nitroreductase","9","9","1","32","507","","","","551","551","551","GEGEGB_01241","LNHIMF_01343","BEJGEH_01791","HFCAGB_01987","AJBGEP_01373","ODDLKH_01770","IKCLMC_04868","PKJKAM_00922","ONMMKP_00834"
"DUF4310 domain-containing protein","","DUF4310 domain-containing protein","9","9","1","32","5700","","","","644","644","644","GEGEGB_04714","LNHIMF_04511","BEJGEH_04510","HFCAGB_04652","AJBGEP_04641","ODDLKH_00313","IKCLMC_03374","PKJKAM_02256","ONMMKP_02343"
"chbG","","Chitooligosaccharide deacetylase ChbG","9","9","1","32","485","","","","758","758","758","GEGEGB_01264","LNHIMF_01365","BEJGEH_01769","HFCAGB_01965","AJBGEP_01395","ODDLKH_01792","IKCLMC_04846","PKJKAM_00900","ONMMKP_00812"
"CCA-adding enzyme","","CCA-adding enzyme","9","9","1","32","4731","","","","1241","1241","1241","GEGEGB_03279","LNHIMF_03249","BEJGEH_03224","HFCAGB_03428","AJBGEP_03372","ODDLKH_03632","IKCLMC_03638","PKJKAM_01865","ONMMKP_03625"
"FCD domain-containing protein","","FCD domain-containing protein","9","9","1","32","4578","","","","665","665","665","GEGEGB_03442","LNHIMF_03401","BEJGEH_03379","HFCAGB_03583","AJBGEP_03528","ODDLKH_03791","IKCLMC_03481","PKJKAM_01667","ONMMKP_03475"
"yncJ","","Uncharacterized protein YncJ","9","9","1","32","7574","","","","230","230","230","GEGEGB_01592","LNHIMF_01661","BEJGEH_01473","HFCAGB_01680","AJBGEP_01689","ODDLKH_02087","IKCLMC_04557","PKJKAM_04568","ONMMKP_00442"
"group_720","Inner membrane protein","Inner membrane protein","9","9","1","32","2581","","","","425","500","475","GEGEGB_03960","LNHIMF_03801","BEJGEH_03807","HFCAGB_04008","AJBGEP_03948","ODDLKH_04208","IKCLMC_02615","PKJKAM_03591","ONMMKP_03072"
"group_7200","Isochorismatase-like domain-containing protein","Isochorismatase-like domain-containing protein","9","9","1","32","2582","","","","680","680","680","GEGEGB_03961","LNHIMF_03800","BEJGEH_03806","HFCAGB_04007","AJBGEP_03947","ODDLKH_04207","IKCLMC_02616","PKJKAM_03592","ONMMKP_03073"
"Maleylacetoacetate isomerase","","Maleylacetoacetate isomerase","9","9","1","32","6542","","","","644","644","644","GEGEGB_00724","LNHIMF_02320","BEJGEH_02210","HFCAGB_02441","AJBGEP_02340","ODDLKH_02674","IKCLMC_01807","PKJKAM_03942","ONMMKP_04650"
"ROK family protein","","ROK family protein","9","9","1","32","2677","","","","881","881","881","GEGEGB_04049","LNHIMF_03715","BEJGEH_03716","HFCAGB_03921","AJBGEP_03865","ODDLKH_04125","IKCLMC_02693","PKJKAM_03669","ONMMKP_03152"
"yiaJ","","IclR family transcriptional regulator YiaJ","9","9","1","32","2691","","","","800","800","800","GEGEGB_04063","LNHIMF_03701","BEJGEH_03702","HFCAGB_03907","AJBGEP_03851","ODDLKH_04111","IKCLMC_02707","PKJKAM_03683","ONMMKP_03166"
